set,sort_name,card_number, name,gc02,gc03,gc04,gc05,gc06,gc07,gc08,gc09,gc10,gc11,gc12,dc02,dc03,dc04,dc05,dc06,dc07,dc08,dc09,dc10,dc11,dc12,specialty,s1,s2,s3,s4,s5,s6,prioritys,priorityt,subx,suby,tagx,tagy,oc02,oc03,oc04,oc05,oc06,oc07,oc08,oc09,oc10,oc11,oc12,ro02,ro03,ro04,ro05,ro06,ro07,ro08,ro09,ro10,ro11,ro12,division,promotion,era,year,position,notes,template
SuperSet '83,Dory Funk Jr.,83_11,Dory Funk Jr.,DC,DC,OC,DC,OC,OC,OC,OC/TT,DC,DC,OC,A,B,B,C,A,A,A,Reverse,B,B,A,Spinning Toe Hold,12,10 P/A,15 P/A,12,12,10,4,2,2,4,2,7,Ropes,Cross Ankle Pickup 7,Boston Crab 10,Ram Head Into Steel Post 6,Standing Leg Lock 5 (xx),Armdrag 6,Shoulder Smash 7,Spinning Toe Hold (S),Sleeperhold 9*,Belly To Back Suplex 10,Stomp Head Into Canvas 10,Throw Out Of Ring (DQ),N/A,Jump Off Top Rope 6 P/A,N/A,Cross Body Block 6,Inverted Bodyslam 7,Shoulder Smash 7,N/A,Spinning Toe Hold (S),N/A,Bodyslam Onto Concrete (DQ),Veteran,Mid Atlantic,Original,1983,Tag Team,Teamed with Terry in All Japan. Feud with SB Sugar in Mid Atlantic in December 1982.,true
SuperSet '83,Terry Funk,83_12,Terry Funk,OC,DC,DC,OC,OC/TT,OC,DC,DC,OC,DC,OC,B,A,Reverse,A,B,A,A,B,C,A,A,Spinning Toe Hold,12,14 P/A,10,11,11,13 P/A,4,3,2,5,7,12,Ropes,Smash With Fake Nwa Belt 5,Monkey Flip 9,Spinning Toe Hold (S),Arm Lock 7,Shoulder Clamp 6,Close Fisted Slug 10 (xx),Hammer Lock 8,Leg Dive Takedown 6,Figure-four Leglock 5*,Dropkicks 8,N/A,Dropkick Out Of Ring (DQ),Spinning Toe Hold (S),Shoulder Smash 8 P/A,Shoulder Smash 8,Shoulder Smash 8,N/A,N/A,Ram Head Into Ringpost 6,Choke Against Rope 10,N/A,Veteran,Misc,Original,1983,Tag Team,Teamed with Dory in All Japan in December 1982.,true
SuperSet '83,Billy Graham,83_13,Superstar Graham,DC,DC,DC,DC,OC,OC,OC,OC,OC/TT,OC,DC,A,Reverse,B,A,B,A,A,C,A,A,B,Superstar Bearhug,12*,10*,12,12 P/A,10,12,5,2,2,4,6,12,Kick To Midsection 8,Extended Thumb Chokehold 9,Body Slam 9 P/A,Snap Mare 6,Forearm Smashes 8 (xx),Karate Thrust To Chest 8,Elbow Smash To Wind Pipe 7,Superstar Bearhug (S),Catapult Foe Across Ring 7,Chop To Pre-frontal Lobe 9,Ropes,Throw Into Turnbuckle 8,Superstar Bearhug (S),N/A,N/A,Superstar Bearhug (S),Karate Thrust 6,Superstar Bearhug (S),N/A,Superstar Bearhug (S),N/A,Throw Out Of Ring (DQ),Heavyweight,WWF,Original,1983,Upper Card,Challenged for the WWF World Heavyweight title in December 1982.,true
SuperSet '83,Hulk Hogan,83_14,Hulk Hogan,DC,DC,OC/TT,DC,OC,OC,OC,OC,DC,DC,OC,A,B,B,A,A,A,C,Reverse,A,B,B,Bearhug,12,11,10*,10*,12,11 P/A,5,2,2,3,2,8,Ropes,Full Pressure Headlock 8,Spinal Backbreaker 8,Bearhug (S),Body Slam Onto Top Rope 6,Double Elbow Smash 9,Head First Bodyslam 7,Stomp On Face 9 (xx),Throat Lift 8,Leg Lock Chokehold 6*,Slam Into Turnbuckle 9,N/A,N/A,Throw Out Of Ring (DQ),Backdrop 9 P/A,Elbow Smash 5 P/A,Body Block 8,Bearhug (S),Bearhug (S),Kick To Midsection 6,N/A,N/A,Super Heavyweight,AWA,Original,1983,Upper Card,Won a Japanese tag team tournament and later wrestled K. Patera in the AWA during December 1982.,true
SuperSet '83,Rick Martel,83_15,Rick Martel,OC,DC,DC,OC,DC,OC,OC,DC,OC/TT,OC,DC,B,A,A,Reverse,A,C,A,B,B,A,B,Dropkicks,10,10,12,8,8 P/A,10 P/A,5,2,2,5,8,12,Abdominal Stretch 8,Ropes,Boston Crab 6*,Elbow Smash 6 (xx),Flying Body Press 8,Arm Drag And Twist 9,Dropkicks (S),Reverse Monkey Flip 8,Suplex 9 P/A,Full Nelson Into Ropes 9,Headlock 6,N/A,Reverse Cradle 10 P/A,N/A,Dropkicks (S),Spin Under Takedown 8,Spin Under Takedown 8,Back Drop 6,Flying Body Smash 6,N/A,Flying Body Press 10,N/A,Heavyweight,AWA,Original,1983,Upper Card,Challenged for the AWA World Heavyweight title in December 1982.,true
SuperSet '83,Mil Mascaras,83_16,Mil Mascaras,DC,DC,OC,DC,OC/TT,OC,DC,OC,OC,OC,OC,B,A,B,A,A,Reverse,C,A,B,A,B,Aerial Acrobatics,12,8 P/A,10,10,14,8 P/A,5,3,2,5,2,6,Cradle 8 P/A,Ropes (xx),Flying Head Scissors 8,Aerial Acrobatics (S),Hip Lock 6,Rapid Fire Dropkicks 7,Bodyscissors 8,Flying Body Press 10,Aerial Acrobatics (S),Abdominal Stretch 7*,Ropes,Reverse Cradle 8 P/A,Flying Head Scissors 10,Flying Dropkicks 9,N/A,Bodyscissors 8,Aerial Acrobatics (S),Aerial Acrobatics (S),N/A,Flying Dropkicks 9,Reverse Sunset 7 P/A,Reverse Cradle 9 P/A,Heavyweight,Misc,Original,1983,Upper Card,Traveling the world as a main event attraction.,true
SuperSet '83,Mil Mascaras,83_16,Mil Mascaras (computer version),DC,DC,OC,DC,OC/TT,OC,DC,OC,OC,OC,OC,B,A,B,A,A,Reverse,C,A,B,A,B,Aerial Acrobatics,12,8 P/A,10,10,14,8 P/A,5,3,2,5,2,6,Cradle 8 P/A,Ropes,Flying Head Scissors 8,Aerial Acrobatics (S),Hip Lock 6,Rapid Fire Dropkicks 7,Bodyscissors 8,Flying Body Press 10,Aerial Acrobatics (S),Abdominal Stretch 7*,Ropes,Reverse Cradle 8 P/A,Flying Head Scissors 10,Flying Dropkicks 9,N/A,Bodyscissors 8,Aerial Acrobatics (S),Aerial Acrobatics (S),N/A,Flying Dropkicks 9,Reverse Sunset 7 P/A,Reverse Cradle 9 P/A,Heavyweight,Misc,Original,1983,Upper Card,Traveling the world as a main event attraction.,true
SuperSet '83,Wahoo McDaniel,83_17,Wahoo McDaniel,DC,OC,DC,DC,DC,OC,OC/TT,OC,OC,OC,DC,A,C,A,B,A,B,A,B,A,B,Reverse,Indian Sleeper,12,12*,12,9,9*,10,4,3,2,6,8,12,Ropes,Piledriver 12,Indian Sleeper (S),Slam Into Turnbuckle 7,Apache Backbreaker 9,Tomahawk Chop To Neck 8,Indian Leglock 6,Body Slam 5,Inside Back Cradle 7,Wrist Lock Take-down 5 (xx),Boston Crab 7*,Reverse Sunset 10 P/A,N/A,N/A,Back Drop 6,Tomahawk Chops 8,Spin Under Take-down 7,Tomahawk Chops 8,N/A,Shoulder Smash 9,Indian Sleeper (S),N/A,Veteran,Mid Atlantic,Original,1983,Upper Card,Challenged for the NWA World & U.S. titles in Mid Atlantic in November 1982.,true
SuperSet '83,Pedro Morales,83_18,Pedro Morales,OC,OC,DC,DC,OC,OC,DC,OC/TT,OC,OC,DC,B,A,B,C,A,A,B,Reverse,A,B,A,Boston Crab,9*,10,11,11,10*,9*,4,2,2,4,7,12,Body Slam 9,Turnbuckle Smash 9,Boston Crab (S),Hip Roll 6,Forearm Smashes 8,Standing Dropkick 7,Continuous Forearms 8 (xx),Punch To Face 9,Flying Body Press 9 P/A,Kick To Midsection 7,Ropes,Flying Body Press 9 P/A,Revese Sunset 8 P/A,N/A,Forearm To Midsection 7,Forearm To Upper Jaw 8,Dropkicks 7,N/A,N/A,Kick To Rib Cage 8,Dropkicks 7,N/A,Heavyweight,WWF,Original,1983,Upper Card,WWF Intercontinental Heavyweight Champion.,true
SuperSet '83,Blackjack Mulligan,83_19,Black Jack Mulligan,OC,DC,OC,DC,OC,OC,DC,OC/TT,DC,DC,OC,B,Reverse,B,A,A,A,A,A,B,B,C,Brain Claw,15,8 P/A,10,10,10*,8,3,2,2,5,2,8,Elbow Jab To Teeth 6,Shoulder Claw 9,Ram Head Into Ringpost 10,Stomp Opponent's Face 7,Bearhug 6 (xx),Stomach Claw 7,Grinding Headlock 6,Brain Claw (S),Arm Drag And Twist 6,Single Hand Chokehold 10,Ropes,Bodyslam Onto Head 10,N/A,N/A,N/A,Neck Claw 9*,Shoulder Smash 6,Rib Cage Claw 8,N/A,Brain Claw (S),Throw Out Of Ring (DQ),N/A,Veteran,Florida,Original,1983,Mid Card,Feuds with A. The Giant in December 1982.,true
SuperSet '83,Don Muraco,83_20,Magnificent Muraco,DC,DC,OC/TT,DC,OC,OC,OC,DC,OC,DC,DC,B,B,A,Reverse,A,A,B,C,B,A,A,Hawaiian Hammer,10,14,10,12,12 P/A,10 P/A,5,2,2,5,6,12,Ropes,Spinning Toe Hold 10,Figure-four Leglock 7*,Frontal Plex 8 (xx),Kneedrop To Neck 10,Flying Elbowsmash 6,Head Plunge To Stomach 6,Shoulder Smash 7,Hawaiian Hammer (S),Rear Chinlock 7,Leg Dive Take Down 8,N/A,Throw Out Of Ring (DQ),N/A,Kneedrop Off Top Rope 10,Shoulder Smash 6 P/A,Body Slam 5,Shoulder Smash 7 P/A,Cross Body Block 6,Choke Against Ropes 8,N/A,N/A,Heavyweight,WWF,Original,1983,Upper Card,Wins the WWF Intercontinental Heavyweight title in January 1983.,true
SuperSet '83,Bob Orton Jr.,83_21,Cowboy Bob Orton,DC,OC,OC,OC/TT,OC,OC,DC,DC,DC,OC,OC,A,B,Reverse,A,B,B,A,B,C,A,A,Deadly Superplex,12,10 P/A,10 P/A,11,11,12,4,2,2,5,2,6,Ropes,Longhorn Sleeper 9*,Reverse Spinecrusher 8,Elbow Drop 7 (xx),Figure-four Leglock 5,Roundhouse Forearms 8,Dropkicks 6,Texas Body Slam 7,Deadly Superplex (S),Bearhug 10*,Atomic Skull Crusher 10,Kick To Groin 6,N/A,Deadly Superplex (S),N/A,Dropkick Into Ringpost 6,Texas Body Slam 8,N/A,Bearhug 8,Longhorn Sleeper 9*,N/A,N/A,Heavyweight,Mid Atlantic,Original,1983,Tag Team,Mid Atlantic tag team with R. Piper in December 1982.,true
SuperSet '83,Ken Patera,83_22,Ken Patera,OC,DC,OC,OC,OC/TT,OC,DC,DC,OC,DC,DC,B,C,Reverse,B,B,A,A,A,B,A,A,Swinging Neckbreaker,9*,12,12,10,10,10*,4,3,2,5,7,12,Boot To Stomach 10,Boston Crab 6*,Grind Face To Ringpost 8,Swinging Neckbreaker (S),Double Elbow Smash 7,Power Slam 7,Throat Smash Into Ropes 9,Backbreaker 8 (xx),Knee Lift To Midsection 6,Foreign Objects 10,Ropes,Reverse Cradle 9 P/A,N/A,N/A,Spin Under Takedown 7,N/A,Flying Elbow Smash 8,Power Slam 6,Cross Body Block 9,N/A,N/A,Throw Out Of Ring (DQ),Heavyweight,AWA,Original,1983,Mid Card,AWA singles wrestler.,true
SuperSet '83,Roddy Piper,83_23,Roddy Piper,OC,OC,DC,DC,DC,OC,OC,OC/TT,OC,DC,OC,A,B,C,A,B,B,A,B,A,A,Reverse,Figure Four Leglock,8*,9,10,9,8*,14,3,2,2,5,2,8,Ropes,Choke 6,Maim With Foreign Object 9,Kneedrop To Rib Cage 8,Arm Drag 6,Right Hand Smash 8,Aerial Body Press 7,Figure Four Leglock (S),Sleeper 9 P/A,Standing Leglock 7 (xx),Full Nelson 7,N/A,Sleeperhold 6 P/A,N/A,N/A,Kick To Abdominal Area 6,Body Press 8,Shoulder Flip Into Post 6,Smash To Pre-frontal Lobe 6,N/A,Throw Out Of Ring (DQ),N/A,Young Star,Mid Atlantic,Original,1983,Tag Team,Mid Atlantic tag team with B. Orton in December 1982.,true
SuperSet '83,Ivan Putski,83_24,Ivan Putski,DC,DC,OC/TT,DC,OC,OC,DC,OC,DC,OC,OC,A,B,A,C,A,A,Reverse,B,A,B,A,Polish Hammer,9,10 P/A,11,8 P/A,10,12,3,2,2,4,8,12,Ropes,Forearm Smash To Face 8,Ram Head Into Turnbuckle 7,Winding Headlock 6,Full Nelson 7,Power Body Slam 8,Stomp On Head 7,Polish Hammer (S),Reverse Necklock 8,Dropkicks 9 (xx),Cross Ankle Pickup 10,Throw Out Of Ring (DQ),N/A,Body Slam 8,N/A,Front Body Block 8,Cross Body Block 9,Side Body Block 7,N/A,Bearhug 8*,N/A,N/A,Heavyweight,WWF,Original,1983,Mid Card,WWF singles wrestler.,true
SuperSet '83,Harley Race,83_25,Harley Race,OC,DC,DC,DC,OC/TT,OC,DC,OC,OC,OC,OC,B,B,C,B,A,A,A,B,Reverse,B,A,Piledriver,10,14 P/A,9,10,9 P/A,11,5,3,2,5,7,12,Head Lock 9,Indian Death Lock 9*,Elbow Smashes 6,Back Suplex 8,Head Scissors 7 (xx),Ram Into Turnbuckle 7,Piledriver (S),Eye Gouge 8 P/A,Pull Hair And Slug 6,Driving Head Butt 8,Ropes,N/A,N/A,N/A,Jump Off Top Rope 10,Shoulder Smash 8,Catapult Into Turnbuckle 7,Power Head Butt 6,Cross Body Block 7,Shoudler Smash 8,Body Slam Outside Ring (DQ),N/A,Veteran,NWA,Original,1983,Tag Team,All Japan tag team with Dick Slater and Missouri State Heavyweight champion in December 1982.,true
SuperSet '83,Dusty Rhodes,83_26,Dusty Rhodes,OC,DC,OC,OC/TT,OC,OC,DC,DC,DC,DC,OC,B,A,Reverse,A,B,A,B,A,C,A,B,Piledriver,15 P/A,8 P/A,9,8,9,12,5,2,2,5,2,7,Ropes,Knee-Joint Scissorlock 9*,Kick To Groin 7,Piledriver (S),Spleen Cruncher 6,Face First Body Slam 7,Loaded Elbow 7,Arm Drag 8 (xx),Stomp On Face 8 P/A,American Dream Strut 10,Repeated Chokeholds 10,N/A,Hurl Into Crowd (DQ),Shoulder Smash 6 P/A,N/A,Elbow Smash To Face 7,Elbow Smash To Throat 8,Wrap Around Chokehold 7,N/A,Shoulder Smash 6 P/A,N/A,Throw Out Of Ring (DQ),Veteran,Florida,Original,1983,Upper Card,Florida’s top singles star in December 1982.,true
SuperSet '83,Tommy Rich,83_27,Tommy Rich,OC,DC,OC,DC,OC/TT,OC,DC,OC,DC,OC,OC,B,Reverse,C,B,A,A,A,B,B,A,A,Sleeper,11,10 P/A,10,8*,10,14,3,3,2,6,8,12,Elbow Smashes 6 P/A,Wildfire Arm Lock 7,Slam Head Into Turnbuckle 9 (xx),Knee To Chest Cavity 7,Top Wrist Lock 6,Fireman Carry 8,Lateral Dropkicks 6,Head Scissors 9,Sleeper (S),Rear Chin Lock 7,Ropes,Slam Into Tv Camera (DQ),N/A,N/A,Spin Under Take Down 8,Shoulder Smash 7,Vertical Body Block 7,Vertical Body Block 7,N/A,N/A,Sleeper (S),Reverse Cradle 10 P/A,Young Star,Georgia,Original,1983,Tag Team,Georgia tag team with J. Rich in December 1982.,true
SuperSet '83,Buddy Rose,83_28,Playboy Buddy Rose,OC,DC,OC,OC/TT,DC,OC,OC,DC,DC,OC,OC,A,Reverse,B,C,B,A,A,A,B,B,A,Bombs Away,10,12,11 P/A,10,12,11 P/A,3,2,2,6,2,7,Reverse Neck Twist 9,Body Slam Onto Concrete (DQ),Half Boston Crab 7,Wild Forearms 7,Piledriver 10 (xx),Side Head Lock 6,Kick To Kidney Region 6,Flying Elbow Smash 8,Bombs Away (S),Ropes,Illegal Eye Gouge 9,N/A,Bombs Away (S),N/A,Bombs Away (S),Cross Body Block 7,N/A,Shoulder Smash 9,Reverse Backslide 8,N/A,N/A,Throw Out Of Ring (DQ),Heavyweight,WWF,Original,1983,Lower Card,Lost a lot of December 1982 WWF matches.,true
SuperSet '83,Bruno Sammartino,83_29,Bruno Sammartino,OC,DC,OC/TT,DC,OC,OC,OC,OC,DC,DC,DC,B,A,A,B,A,A,Reverse,C,A,B,A,Bearhug,9*,10*,11 P/A,11,10,9,5,2,2,3,8,12,Ropes,Boston Crab 5*,Flying Dropkicks 7,Front Face Lock 9 (xx),Power Forearms 8,Hip Rolls 9,Figure-four Armbar 7,Head First Body Slam 8,Bearhug (S),Backbreaker 10*,Arm Drag And Twist 8,N/A,Throw Into Ringside (DQ),Body Block 8,N/A,Bearhug (S),Bearhug (S),Bearhug (S),Bearhug (S),Shoulder Block 6,N/A,N/A,Veteran,WWF,Original,1983,Upper Card,Last wrestled in October of 1981. He would return in February of 1985.,true
SuperSet '83,Jimmy Snuka,83_30,Superfly Snuka,OC,DC,DC,OC,OC,OC,OC/TT,DC,DC,OC,OC,B,A,B,Reverse,A,A,A,C,B,B,A,Superfly Death Leap,14,10 P/A,10 P/A,11 P/A,10,12,5,3,2,4,2,7,Backbreaker 9*,Ropes,Standing Arm Lock 6,Superfly Death Leap (S),Smash To Throat 8 (xx),Uppercut To Face 8,Forearm Smash To Gut 7,Body Slam 8,Kick To Midsection 7,Fijiian Chin Lock 8 P/A,Pumping Toe Hold 8,N/A,Toss Into Crowd (DQ),N/A,Superfly Death Leap (S),Elbow Cut 7,Superfly Death Leap (S),Dropkicks 6,Superfly Death Leap (S),N/A,Reverse Cradle 9 P/A,N/A,Heavyweight,WWF,Original,1983,Upper Card,Just turned babyface and in December 1982 is feuding with R. Stevens.,true
SuperSet '83,Ray Stevens,83_31,Crippler Stevens,DC,OC,DC,DC,DC,OC/TT,OC,OC,OC,OC,OC,B,Reverse,A,C,B,A,B,A,A,B,A,Crippling Piledriver,12,12,10,10,9 P/A,15 P/A,4,3,2,5,6,12,Full Nelson 8,Throw Out Of Ring (DQ),Bombs Away 10,Bite Opponent's Face 7,Slam Into Turnbuckle 8,Choke Against Ropes 7 (xx),Forearm Smashes 6,Crippling Piledriver (S),Chokehold Headlock 5,Body Stomp 10 P/A,Ropes,Kick To Groin 9,Kick To Groin 9,N/A,Bombs Away 7,N/A,Shoulder Smash 6,Piledriver On Concrete (DQ),Elbow To Throat 7,N/A,Bombs Away 10 P/A,N/A,Heavyweight,WWF,Original,1983,Upper Card,"In December 1982, he is feuding with J. Snuka and getting WWF World title shots.",true
SuperSet '83,Jay Strongbow,83_32,Chief Jay Strongbow,OC,DC,DC,OC,DC,OC/TT,OC,DC,OC,OC,OC,B,C,A,A,B,B,A,B,B,Reverse,A,War Dance,10,12 P/A,8,10,10 P/A,15,3,3,2,7,2,8,Knee Lift 6 (xx),Sleeper 7*,Indian Head Lock 6,Tomahawk Chop 6,Choke With Wampum Belt 8,Double Chop To Throat 6,Knee Lift 5,Kick To Mid Section 8,War Dance (S),Bow And Arrow 7,Ropes,N/A,Sleeper 8*,N/A,Tomahawk Chop 6,Tomahawk Chop 7,Smash To Turnbuckle 8,Tomahawk Chop 7,Tomahawk Chop 6,N/A,N/A,N/A,Veteran,WWF,Original,1983,Tag Team,WWF World Tag Team Champion in December 1982.,true
